Gene_A	Pathway	Gene_B	Upstream	Downstream	Upregulating	Downregulating	Upregulated	Downregulated	Tissue	Gene_A_Gene_Expression	Gene_A_Gene_Expression_z-Score	Gene_A_Gene_Expression_p-Value	Gene_A_Protein_Expression	Gene_A_Protein_Expression_z-Score	Gene_A_Protein_Expression_p-Value	Gene_B_Gene_Expression	Gene_B_Gene_Expression_z-Score	Gene_B_Gene_Expression_p-Value	Gene_B_Protein_Expression	Gene_B_Protein_Expression_z-Score	Gene_B_Protein_Expression_p-Value
VAMP2	WP481	PDPK1	True	False	True	False	False	False	Heart_Left_Ventricle	39.65	-0.7892486869711598	0.7850166644931391	21.478342436800002	-0.44801825746318596	0.6729299898909211	5.7379999999999995	-1.6552286873096669	0.9510609409112653	11.9886108197	0.18558738122016694	0.42638417498891723
VAMP2	WP481	PDPK1	True	False	True	False	False	False	Kidney_Cortex	74.14	-0.4230580589337656	0.6638735491731186	28.1414550605	-0.3519563359277562	0.6375644956128923	10.72	-0.5143830289525839	0.6965078889119672	7.1144670315	-0.30393323293524266	0.6194106207606392
VAMP2	WP481	PDPK1	True	False	True	False	False	False	Liver	24.94	-0.9454291490885873	0.8277800867374894	14.1660584135	-0.5534392661960331	0.710018671254934	6.347	-1.5157716407541744	0.9352114473409576	6.3666043588	-0.379042669741416	0.6476719110017549
VAMP2	WP481	PDPK1	True	False	True	False	False	False	Lung	112.7	-0.013655025674214234	0.5054473977941683	45.7436350189	-0.09818616491158849	0.5391077659102405	16.94	0.9099565926815099	0.18142270110868486	6.4574871335	-0.36991511962789725	0.6442771322640503
VAMP2	WP481	PDPK1	True	False	True	False	False	False	Ovary	223.8	1.1659268466062878	0.12182201175277951	53.6597852184	0.01594076679030674	0.4936408234661218	16.68	0.8504182805231711	0.19754628813026232	18.4246890835	0.8319763925733094	0.2027111349259323
VAMP2	WP481	PDPK1	True	False	True	False	False	False	Pancreas	34.975	-0.8388845578344484	0.799232952952309	52.927724544099995	0.005386667073659442	0.4978510411463063	7.771	-1.1896848849331214	0.8829148657954958	7.14551119	-0.30081540215404	0.6182223685672421
VAMP2	WP481	PDPK1	True	False	True	False	False	False	Prostate	126.75	0.13551801938016064	0.4461011591358345	35.464001600399996	-0.2463873727597885	0.5973088099574748	14.14	0.26877476943786627	0.3940515050973259	4.7461169658	-0.541791660809939	0.7060189815918407
VAMP2	WP481	PDPK1	True	False	True	False	False	False	Testis	98.15	-0.16813672001878038	0.5667621389281211	51.4042760996	-0.016576849559437223	0.5066129033016371	16.91	0.9030867874324705	0.18323991788509575	21.600488171	1.150928640865784	0.12488079690997433
VAMP2	WP481	SGK1	True	False	True	False	False	False	Adrenal_Gland	107.0	-0.07417362758239483	0.52956388491375	50.2380840509	-0.03338981001863674	0.5133181322197973	57.87	0.7456835627392312	0.2279292954412897	19.4974124155	0.13159132066199794	0.44765377546602536
VAMP2	WP481	SGK1	True	False	True	False	False	False	Bladder	93.72	-0.21517135272987517	0.5851831374898769	37.2428179273	-0.2207422240026116	0.5873534238421515	15.51	-0.5698510625636616	0.7156106405040586	0.0	-1.1747806498477324	0.8799587582167274
VAMP2	WP481	SGK1	True	False	True	False	False	False	Brain_Frontal_Cortex_BA9	439.5	3.456078150394805	0.0002740481929587313	324.4724423734	3.920239807135649	4.423044944512622e-05	9.687000000000001	-0.750690489455511	0.7735805259968433	20.265998360099996	0.1830883661958439	0.4273643419567925
VAMP2	WP481	SGK1	True	False	True	False	False	False	Brain_Spinal_cord_cervical_c-1	154.2	0.4269628654116616	0.3347031876824511	69.06537988439999	0.23804282473063135	0.40592393967220763	42.16	0.25779288843544346	0.39828337662135094	12.1905925537	-0.3579826011283062	0.6398218329101646
VAMP2	WP481	SGK1	True	False	True	False	False	False	Colon_Sigmoid	108.8	-0.05506249013770626	0.5219556603400093	29.3805222135	-0.3340927369837361	0.630845209722033	7.475	-0.8193864901913467	0.793717029828745	17.192760873999998	-0.022825691782903907	0.5091053428589531
VAMP2	WP481	SGK1	True	False	True	False	False	False	Colon_Transverse	72.065	-0.4450889534880594	0.6718722642693287	29.3805222135	-0.3340927369837361	0.630845209722033	21.655	-0.3790115849317853	0.6476603694935215	17.192760873999998	-0.022825691782903907	0.5091053428589531
VAMP2	WP481	SGK1	True	False	True	False	False	False	Esophagus_Gastroesophageal_Junction	124.5	0.11162909757429988	0.45555874984097944	27.243415346	-0.3649033511535164	0.6424082236529122	11.3	-0.7005970675807809	0.7582227455115067	0.0	-1.1747806498477324	0.8799587582167274
VAMP2	WP481	SGK1	True	False	True	False	False	False	Esophagus_Mucosa	53.42	-0.6430484855192921	0.739903680323212	27.243415346	-0.3649033511535164	0.6424082236529122	46.83	0.4028246802240297	0.34353860184025153	0.0	-1.1747806498477324	0.8799587582167274
